id,autor,titulo,editorial,anio,clasificacion
1015,"PAZ, Octavio",El laberinto de la soledad,"Fondo de Cultura
Economica",1994,F1210 P3 1994
1016,"VOS, Juan de","No queremos ser cristianos:Historia de la resistencia de los lacandones, 1530-1695, a través de testimonios
españoles e indígenas",CONACULTA: INI,1990,F1221.L2 V67 1990
1017,"ARGÜELLES, Juan Domingo","Quintana Roo una literatura sin pasado: cuento y poesía
(1977-1990)",CONACULTA,1990,PM3968.5 Q85 1990
1018,"KLEIN, Herbert S.",Origenes de la Revolución Nacional Boliviana: la crisis de la generación del Chaco,CONACULTA: Grijalbo,1993,F3325 K52 1993
1019,MONTESQUIEU,Cartas Persas,CONACULTA,1992,PQ2011.L5 E8 1992
1020,"ARICEAGA, Alejandro","Estado de México donde nadie permanece: poesía y
narrativa (1690-1990)",CONACULTA,1991,PQ7291.M4 E77 1991
1021,"BARANDA, Joaquín",Recordaciones históricas. Tomo I,CONACULTA,1991,F1226 B25 1991
1022,"WAUGH, Evelyn",Robo al amaparo de la ley,CONACULTA,1996,F1215 W3818 1996
1023,,Nuevo León brújula solar: poesía (1876-1992),CONACULTA,1994,PQ7291.N82 N82 1994
1024,"ESQUIVEL OBREGÓN, Toribio","Democracía y personalismo: relatos y comentarios sobre
política actual",CONACULTA,1997,F1234 E78 1997
1025,"IGLESIAS, José María","Revistas históricas sobre la intervención francesa en
México. Tomo I",CONACULTA,1991,F1233.15 R4 1991
1026,,Perú en el fin del milenio,CONACULTA,1994,HN350.Z9 P47 1994
1027,"VÁZQUEZ SANTA ANA, Higinio","Canciones, Cantares y Corridos Mexicanos",CONACULTA,[195-?],M1682.M4 V38 1980
1028,"CORNELIO AGUILAR, Federico",Útimo año de residencia en México,CONACULTA,1995,F1215 A48 1995
1029,"SADA, Daniel",Antología presentida,CONACULTA,1996,PQ7298.29A34 A57 1996
1030,"AGUILAR MORA, Jorge",Cadáver lleno de mundo,CONACULTA,1991,PQ7297.A374 C32 1991
1031,"TABLADA, José Juan",La feria de la vida,CONACULTA,1992,PQ7297.T3 F48 1992
1032,"GARCÍA ÁVILES, Alfredo","Introducción a la metodología de la investigación
científica",España: PyV,1997,Q180 G37  1997
1033,"MARTÍNEZ CHÁVEZ, Victor Manuel","Fundamentos teóricos para el proceso del diseño de un
protocolo en investigación",España: PyV,2000,Q180.55M4 M369 2000
1034,"SUÁREZ IÑIGUEZ, Enrique",Cómo hacer la tesis,Trillas,2000,LB2369 .S92 2000
1035,"LÓPEZ DE LLERGO, Ana Teresa","Educación en valores,  educación en virtudes",Patria Cultural,2001,LC272 L664 2001
1036,"Garza Treviño, J. G.",Valores para el ejercicio profesional,McGrawHill,2004,BJ1725 G379 2004
1037,"DRAPEAU, Christian","Aprendiendo a aprender: técnicas de aprendizaje
acelerado.",Océano,1996,BF318 D7318 1996
1038,"SAVATER, Fernando",Invitación a la ética,Anagrama,1995,BJ1142 S37 1995
1039,"WHITTINGTON, O. Ray",Principios de auditoría,McGrawHill,2004,HF5667 M4318 2004
1040,"PÉREZ TORAÑO, Luis Felipe",Auditoria de Estados financieros teoría y práctica.,McGrawHill,1999,HF5667 P465 1999
1041,"Franklin Finkowsky., E. B.",Auditoria administrativa,McGrawHill,2001,HF5667 F73
1042,"Bronson, G. J.",C ++ para ingeniería y ciencias,International Thomson,2000,QA76.73C153 B75818 2000
1043,"Louden, K. C.",Lenguajes de programación: principios y práctica,International Thomson,2004,QA76.7 L6818 2004
1044,"GIUSTI, Armando E. de","Algoritmos, datos y programas: con aplicaciones en pascal, Delphi y visual da Vinci",Buenos Aires: Pearson educación,2001,QA76.73P2 D4 2001
1045,"TRUCKER, Allen",Lenguajes de programación: principios y paradigmas,McGrawHill,2003,QA76.7 T8418 2003
1046,"CEBALLOS, Francisco Javier",Enciclopedia Visual Basic 6 c/CD,Alfaomega,2000,QA76.73B3 C429 2000
1047,"JOYANES AGUILAR, Luis","Fundamentos de programación: libro de problemas en
Pascal y turbo pascal","España: McGrawHill,",,QA76.73P2 J67 1997
1048,"BARKER, Joel Arthur",Paradigmas: el negocio de descubrir el futuro,McGrawHill,1995,HD30.27B3.718 1995
1049,"O´CONNOR, Joseph","Introducción a la PNL: cómo descubrir y emplear la excelencia para obtener  óptimos resultados personales
y profesionales",Urano,1995,BF637.N46 O2618 1995
1050,"MANZUR GUZMÁN, Ángel","Pasos para la resolución de problemas: ejemplos de
mecánica elemental",UAM,2005,QA809 M358 2005
1051,"PIEDRAFITA MORENO, Ramón",Ingeniería de la automatización industrial,Alfaomega,2001,T56.24 P54 2001
1052,"MCMURRY, John",Química orgánica,International Thomson,1988,QD251.2 M3718 1988
1053,"Young Hugh, D. y R. A. Freedman",Física universitaria V.1,"Pearson educación,",2005,QC21.2 S4318 2005 V.1
1054,"Young Hugh, D. y R. A. Freedman",Física universitaria con física moderna V.2,Pearson educación,2005,QC21.2 S4318 2005 V.2
1055,"GETTYS, w. Edward",Física para ciencias e ingeniería 1,McGrawHill,2005,QC23 G3818 2005
1056,"GETTYS, Edward W.",Física para ciencias  e ingeniería 2,McGrawHill,2005,QC23 G3818 2005
1057,"LARSON, Ron",Cálculo,McGrawHill,2006,QA303 L3718 2006
1058,"Swokowski, E. W. & J. A. Cole",Álgebra y trigonometría con geometría analítica.,Iberoamericana,2000,QA152.2 S84718 1993
1059,"BODIE, Zvi",Finanzas c/CD,Pearson Educación,2003,HG173 B6318 2003
1060,"Parkin, M. & E. Loría",Microeconomía versión para Latinoamérica,Pearson Educación,2001,HB171.5 P3718 2001
1061,"LAMBIN, Jean Jacques",Casos prácticos de marketing,McGrawHill,1995,HF5415 L34518 1995
1062,"COVEY, Stephen R.",El octavo hábito: de la efectividad a la grandeza,Paidós,2005,BF637.S4 C68518. 2005
1063,"HERNÁNDEZ Y RODRÍGUEZ, Sergio",Casos y prácticas de administración de recursos humanos,Trillas,"1986,
reimp. 2003",HF5549 H465 1986
1064,"Hill, C. W. y G. R. Jones",Administración estratégica: un enfoque integrado,"McGrawHill/interamerica
na",2005,HD70.E7 .H54218 2005
1065,"FREEDMAN, Mike",Liderazgo estratégico arte y disciplina,McGrawHill,2004,HD57.7 F7418 2004
1066,"MATEO DUEÑAS, Ricardo",Creación de empresas: teoría y práctica,España: McGrawHill,2004,HD62.5 .M37 2004
1067,"IMAI, Masaaki","Cómo implementar el Kaizen en el sitio de trabajo
(Gemba): un sistema gerencial efectivo, a bajo costo y de sentido común",McGrawHill,1998,HD31 .I4218 1998
1068,"TORRES TOVAR, Juan Carlos",Texto preparado par el curso de contabilidad II,Diana,1994,HF5635 T66 1994
1069,"Jensen, C., J. D. Helsel, y D. R. Short",Dibujo y diseño en Ingeniería,McGrawHill,2001,T353 J44 2001
1070,"Hernández Herrera, J. C. y C. A. Juárez Suárez","Derecho laboral: Su importancia y aplicación en la
empresa",Patria Cultural,2005,KGF1789 H465 2005
1071,"Kazmier, L. J.","Estadística aplicada a la administración y economía. C/
disquet.","McGraw-
Hill/Interamericana",1998,HA29 K3618 1998
1072,"WALPOLE, Ronald E.",Probabilidad y estadística.,McGrawHill,1992,TA340 W3918 1992
1073,"VOLLMAN, Thomas E.","Planeación  y control de la producción: administración
de la cadena de suministros",McGrawHill,2005,TS176 .M3618 2005
1074,"NARASIMHAN, Sim",Planeación de la producción y control de inventarios,Prentice Hall,1996,TS176 .N3718  1996
1075,"ZELENY VÁZQUEZ, Ramón",Metrología dimensional.,McGrawHill,1999,T50 Z45 1999
1076,"Schey, J. A.",Procesos de manufactura,"McGraw-
Hill/Interamericana",2002,TS183 S3418 2002
1077,"GONZÁLEZ, Carlos",ISO 9000  QS9000 ISO 14000.,McGrawHill,1999,TS156.6 G65 1999
1078,,Ley orgánica de la administración pública federal,Sista,2005,JL1216.M4 M495 2005
1079,"LERMA KIRCHNER, A. E.",Comercio y mercadotecnia internacional,Thomson,2005,HF5415.13 L47 2005
1080,"BANNOCK, Graham",Diccionario de economia,Trillas,"1990,
reimp. 2003",HB61 B3318 2003
1081,"MORRIS, Daniel",Reingeniería,McGraw Hill,1994,HD58.85 M6718 1994
1082,"MENEZ RAMÍREZ, Ignacio",El protocolo de investigación,Trillas,"1990,
reimp. 2004",Q175 P90 1990
1083,Consejo del sistema Nacional de Educación Tecnológica,Estadística Básica Sistema Nacional de Educación Tecnológica 2003-2004: inicio de cursos,COSNET,2005,T78 E87 2005
1084,"Consejo del sistema Nacional de Educación
Tecnológica","Escuelas y carreras: sistema Nacional de Educación
Tecnológica. Catálogo 2004-2005",COSNET,2004,T78 M38 2004
1085,"IBARRA RIVAS, Luis",La educación universitaria y el buen maestro,Gernika,1999,LB1778.4M6 I33 1999
1086,"Castañeda, L.",Un plan de vida para jóvenes,Poder,2001,BJ1572 C37 2001
1087,"Baca Uribina, G.",Funadmentos de ingeniería económica,"McGraw-
Hill/Interamericana",1991,TA177.4 B33 1991
1088,"ZAHN, Frank",Teoria y politica macroeconomicas,Trillas,1982,HB171.5 Z33 1982
1089,"Larraín B., F.",Macroeconomia en la economia global,Prentice Hall,2002,HB172.5 S3318 2002
1090,"Grossman S., S. I.",Álgebra lineal,McGrawHill,1996,QA251 G76 1996
1091,"ROMERO, Matías",Textos escogidos,CONACULTA,1992,F1215 R66 1992
1092,"ORTIZ DE MONTELLANO, Bernardo",Raíces del sueño,CONACULTA,1990,PQ7797.O773 R35 1990
1093,"GARCÍA TERRÉS, Jaime",Las provincias del aire: todo lo más por decir,CONACULTA,1992,PQ7297.G283 P7 1992
1094,"URQUIZAR, Concha",El corazón preso,CONACULTA,1990,PQ7297.U76 C67 1990
1095,"RAMOS SMITH, Maya",El ballet en México en el siglo XIX: de la independencia al segundo Imperio 1825-1867,CONACULTA: Alianza,1991,GV1787 R35 1991
1096,"ESTRADA, Genaro",Pero Galín,CONACULTA,1990,PQ7297.E89 P4 1990
1097,"DURSTON, John W.","Organización social de los mercados campesinos en el
centro de Michoacán",CONACULTA,1992,F1219.3.C6 D86 1992
1098,"PIATTINI VELTHUIS, Mario.",Anàlisis y diseño de aplicaciones informàticas de Gestiòn una pespectiva de Ingenierìa de Sofware,Alfaomega Ra-ma,2004,QA76.758 A55 2004
1099,"ALEGRÍA OLAZÁBAL, Tito",Desarrollo urbano en la frontera México-Estados Unidos,CONACULTA,1992,HT127.7 A54 1992
1100,"RIUS, Luis",Canciones a Pilar Rioja,CONACULTA,1992,PQ7297.R472 C29 1992
1101,"EGGELING, T.","Ampliar, reparar y configurar su PC",Alfaomega,2004,TK7887 E4418 2004
1102,"REJANO, Juan",Antología poética,CONACULTA,1991,PQ6613.A776 A6 1991
1103,"BRACHO, Coral",Huellas de luz,CONACULTA,1994,PQ7298.12R33 H84 1994
1104,"ARAMONI, Ma. Elena","Talokan tata, talokan nana: nuestras raíces",CONACULTA,1990,F1221.N3 A73 1990
1105,,Libro de Chilam Balam de Chumayel,CONACULTA,1998,F1435 C537 1998
1106,"GARCÍA ASCOT, Jomi",Antología personal: poesía,CONACULTA,1992,PQ7297.G2113 A17 1992
1107,"DENIZ, Gerardo",Andrede y Gatuperio,CONACULTA,1998,PQ7298.D46 A37 1998
1108,"MESSMACHER, Miguel",La interdependencia en la frontera norte,CONACULTA,1990,F1210 M48 1990
1109,"LAWRENCE, D. H.",Estrella del alba y del atardecer,CONACULTA,1997,PR6023.A93 L3618 1997
1110,"MARTÍNEZ DEL RÍO, Pablo",Orígenes del hombre americano,CONACULTA,1997,E61 M376 1997
1111,"WALDECK, Federico de","Viaje pintoresco y arqueológico a la Provincia de
Yucatán, 1834-1836",CONACULTA,1996,F1376 W3518 1996
1112,"GOROSTIZA, José",Epistolario (1918-1940),CONACULTA,1995,PQ7297.G67 E65 1995
1113,"MIÑO GRIJALVA, Manual","Haciendas, pueblos y comunidades",CONACULTA,1991,HC133 H33 1991
1114,"DEHOUVE, Daniéle","El tequio de los santos y la competencia entre los
mercaderes",CONACULTA,mp. 1992,F1219.3S6 D43 1992
1115,"CHAMBON, Ludovic",Un gascón en México,CONACULTA,1994,F1215 C42818 1994
1116,"MARTÍN MARTÍNEZ, Francisco J.",Información básica,Alfaomega,2004,QA76 M3692 2004
1117,"TOLLET, John",El libro del iBook,Pearson  educacion,2000,QA76.8I36 T6518 2000
1118,"DÍAZ RAMÍREZ, Manuel",Apuntes sobre el movimiento Obrero y campesino,Cultura Popular,1988,HD8110 D52 1998
1119,"HERRASTI, Vicente F.",Taxidermia,LUZAZUL,1995,PQ7298.18E768 T39 1995
1120,"Kleiman, A. & E. K. de Kleiman",Conjuntos: aplicaciones matemáticas a la administración,Limusa,1994,QA248 K53 1994
1121,"SABERÓN, Jorge",Ecología de poblaciones,FCE,1995,GF47 S63 1995
1122,"GAXIOLA, Jorge F.",Obras escogidas,Instituto de Estudios Legislativos de la Legislatura del Estado de México,1999,JC355 G39 1999
1123,"ACKOFF, Russell L.",El arte de resolver los problemas,Limusa,1999,HD30.29 A26 1999
1124,"JAIME C., José Luis",La oposición parlamentaria en América Latina,"LIV LEGISLATURA DEL
ESTADO DE MÉXICO",2000,JL964.O6 J35 2000
1125,"GOROSTIZA, Manuel Eduardo de",Cartilla política,Instituto de Estudios Legislativos de la Legislatura del Estado de México,1999,JC186 G667 1999
1126,"ECKSTEIN, Susan",El estado y la pobreza urbana en México,SIGLO XXI,1982,HV4051.A5 E23 1982
1127,"POZAS, Ricardo",Los indios en las clases sociales de México,SIGLO XXI,,F1219.3E8 P68 1982
1128,"Antonyan, N., L. Medina & P. Wisniewski",Problemario de precálculo,Thomson,2003,QA157 A57 2003
1129,"GONZÁLEZ VALDES, Refugio","Privatización y bienestar social en el Estado de México, 1990-1999",Instituto de la Administración  Pública del Estado de México,2001,HV114 M484 G66 2001
1130,"BALASSA, Bela A.",Futuro comercial de los países en desarrollo,FCE,1966,HF1409 B32 1966
1131,SEP,Sistema Nacional de Investigadores: directorio 1990,SEP,1991,Q179.98 S57 1991
1132,"PORTER, Michael E.",Ser competitivo: nuevas aportaciones y conclusiones,DEUSTO,1999,HF1414 P6718 1999
1133,,Creatividad e innovación,DEUSTO,2000,HD53 H37818 2000
1134,"EDELSTON, Martin","El poder ""I"" los secretos del éxito en los negocios en
tiempos difíciles",Castillo,1993,HC106.8 E3418 1993
1135,,Historia de los Estados Unidos,"Servicio cultural e informativo de los
Estados Unidos",[199-?],E178 A28 1945
1136,"PRATT, Terrence W.",Lenguajes de programación,Prentice Hall,1998,QA76.7 P718 1998
1137,"BIRDSALL, Stephen",Semblanza de la geografía estadounidense,"Servicio cultural e informativo de los
Estados Unidos",[199-?],E169 B53 218 1998
1138,"CEBOLLA CEBOLLA, Castell",AutoCad 2002,Alfaomega,2002,T385 C43 2002
1139,"SCHROEDER, Richard",Perfil del gobierno mexicano,"Servicio cultural e
informativo de los Estados Unidos",[199-?],JK2408 S35 1990
1140,"Ackoff, R. L.",Rediseñando el futuro,Limusa,2001,T14.5 A23 2001
1141,"JAGOT, Paul C.",Cómo obtener una supermemoria,"Gomez Gomez, Hnos.",1982,BF385 J33 1982
1142,"BAMBIRRA, Vania",El capitalismo dependiente latinoamericano,SIGLO XXI,1977,HC125 B34 1979
1143,"RIVADENEIRA PRADA, Raúl","Periodismo: la teoría general de los sistemas y la ciencia
de la comunicación",Trillas,1977,PN4731 R58 1977
1144,"Cetina Franco, A. L., Reyna Gutierrez R. & Martínez
Jaime, M. de L.",Educación física 2: enforma con tu cuerpo,Pearson Educación,2000,GV403 C472 2003 V.2
1145,"Cetina Franco, A. L., Reyna Gutierrez R. & Martínez
Jaime, M. de L.",Educación física 3: movimiento corporal para el futuro,Pearson Educación,2000,GV403 C472 2003 V.3
1146,"ASTURIAS, Miguel Angel",Paris 1924-1933: periodismo y creación literaria,CONACULTA,1988,PQ7499.A75 A16 1988
1147,"DUBOVOY, Silvia",Cómo nace un libro,CONACULTA,1989,Z116.A3 D83 1989
1148,"Cetina Franco, A. L., Reyna Gutierrez R. & Martínez
Jaime, M. de L.",Educación física 1: en forma para la vida,Pearson Educación,2000,GV403 C472 2003 V.1
1149,"BARCÁRCEL, Celia",Taquigrafía,ECA,199-?,Z53. B35 1984
1150,"DUBOVOY, Silvia",La casa de los libros,CONACULTA,1989,Z718.1 D83 1989
1151,"DUBOVOY, Silvia",Cómo compartir mis investigaciones,CONACULTA,1989,LB1049 D83 1989
1152,"DRUCKER, Susana",Cambio de indumentaria,CONACULTA: INI,MP. 1993,GT625 D7 1993
1153,,José María Luis Mora y la creación del estado de México,Instituto de Estudios Legislativos de la Legislatura del Estado de México,2000,F1301 J67 2000
1154,"CONTRERAS, Ariel José",México 1940: industrialización y crisis política,Siglo XXI,1980,F1234 C644 1980
1155,"GANDY, Ross",Introduciión a la sociología histórica marxista,Era,1981,HM104 G35 1983
1156,"CARBALLIDO, Emilio","La veleta oxidada, El norte, Un error de estilo",CONACULTA,1991,PQ7297.C2393 V42 1991
1157,,Acción joven en el servicio social  2,"Secretaría de Desarrollo
Social",2003,HV113 .A23 2003
1158,"SUÁREZ, Luis",La otra cara de Afganistán,Grijalbo,1983,DS371.2 S83 1983
1159,"GARCÍA SILVA, Marcelo P., comp.",Petróleo y alternativas energéticas en América Latina,CEESTEM,1984,HD9502.A5 P48 1984
1160,"MARTÍNEZ NAVA, Juan M.",Conflicto Estado empresarios,Nueva Imagen,1984,HD2351 M36 1984
1161,"ORTIZ QUESADA, Federico, ed.",Vida y muerte del mexicano 1,Folios,1982,RA451 V52 1982 V.1
1162,"MENÉNDEZ, Iván",Lucha social y sistema político en Yucatán,Grijalbo,1982,F1376 M45 1982
1163,"SABATO, Jorge A.",Transferencia tecnológica,CEESTEM,1978,Z7911 S32 1978
1164,"BEDJAOUI, Mohammed",Hacia un nuevo orden económico internacional,UNESCO,1979,HC165 F36 1979
1165,"URIBARRI, Gabriel",Tiempo de Echeverría,Martín Casillas,1984,HC135 U75 1984
1166,"SUÁREZ, Luis",Echeverria en el sexenio de López Portillo,Grijalbo,1983,F1236 S83 1983
1167,"SUÁREZ, Luis",Echeverria rompe el silencio: vendaval del sistema,Grijalbo,1979,F1235 S84 1979
1168,"ZIEGLER, Jean",Una Suiza por encima de toda sospecha,SIGLO XXI,1977,HF1574.Z541977
1169,"ROMERO FLORES, Jesús",La reforma escolar en Michoacán (1914-1917),B. Costa Amic,1971,LA429.M53 R65 1971
1170,"MAKÁRENKO, A.",Poema pedagógico en tres partes,Progreso,19-?,LB775 M326 1957
1171,"PEASE G. Y., Franklin",Perú: una aproximación bibliográfica,CEESTEM,1979,Z1851 P43 1979
1172,"GERARD, Alice",Mitos de la Revoluciòn Francesa,Peninsula,1970,DC150 G44 1970
1173,Centro de Estudios Económicos y sociales del Tercer Mundo,Tercer mundo y economía mundial,Centro de Estudios Económicos y sociales del Tercer Mundo,1981,HC59.7 E87 1981
1174,"GUZMAN, Martin Luis",Muertes Historicas,CONACULTA,1990,F1205 G87 1990
1175,"NOVO, Salvador","La vida en México y en el Periodo Presidencial  de Adolfo
Ruíz Cortines",CONACULTA,1997,F1234 N59 1997
1176,"NUÑEZ Jimenez, Antonio",Petroglifos del Peru 1,Cientifico-Técnica,1986,GN799.P47 N85 1986 V.1
1177,"NUÑEZ Jimenez, Antonio",Petroglifos del Peru 2,Cientifico-Técnica,1986,GN799.P47 N85 1986  V.2
1178,"CORTÉS RUIZ, Efraín C.",San Simón de la Laguna,"Instituto Nacional
Indigenista",1972,F1221.M33 C66 1972
1179,"DIEZ DE CASTRO, Luis T.","Dirección financiera: planificación, gestión y control",Prentice Hall,2001,HG4026 D54 2001
1180,"WESTON, Fred J.",Finanzas en administración,Interamericana,1984,HG4026 W45 1984
1181,"VADILLO, Guadalupe",Didáctica,McGrawHill,2004,LB1025.3 V33 2004
1182,,Agenda de la administración pública federal,ISEF,2004,KGF3230 A28 2004
1183,,Comercio al por mayor,INEGI,2006,HF5421. 5M49 C65 2006
1184,"NICOL, Davidson",Regionalsmo y nuevo ordeneconómico internacional,CEESTEM,1984,HF1410.5 R41984
1185,"MARTNER,  Gonzalo",Introducción a las economías del Tercer Mundo,CEESTEM,1983,HC163 M36 1993
1186,"ORTIZ QUESADA, Federico",Salud en la pobreza,CEESTEM,1984,RA427 O77 1984
1187,"NICOL, Davidson",Regionalsmo y nuevo orden económico internacional,CEESTEM,1984,HF1410.5 R43 1984
1188,"MARTNER,  Gonzalo",Introducción a las economías del Tercer Mundo/2,CEESTEM,1984,HD84 M37 1984
1189,"MARTÍNEZ DE LA VEGA, Francisco",Escritos de coyuntura,"CEESTEM,",1984,JX1530 M36 1984
1190,"LARREA, Juan",Apogeo del mito,CEESTEM,1983,F1408.5 L53 1983
1191,"SILVA HERZOG, Jesus",Comprensión y crítica de la historia,CEESTEM,1982,F1234 S527 1982
1192,"ZAVALA, Silvio",Aportaciones historicas,CEESTEM,1985,F1410 Z36 1985
1193,"MAHTAR M´BOW, Amadou","Las raíces del futuro: la problemática mundial y las
misiones de la Unesco",Nueva Imagen,1985,CB426 M36 1985
1194,"ECHEVERRIA ZUNO,Alvaro",Problema alimentario y cuestion rural,Nueva Imagen,1984,HD9016.M4 E34 1984
1195,"Nuncio, A.",El grupo Monterrey,Nueva Imagen,1984,HD2811 N86 1984
1196,"MENÉNDEZ, Iván","Inflación, devalución y desarrollo rural en México: un análisis de la conyotura postdevaluatoria, 1982",CEESTEM,1983,HG664 I52 1983
1197,"ESTÉVEZ, Jaime",Crisis del orden internacional y Tercer Mundo:la confrontación Norte-Sur en los años ochenta,CEESTEM,1983,HF1413 E87 1983
1198,"GREEN,Rosario",Estado y banca transnacional en México,CEESTEM,1984,HJ8519 G73 1984
1199,"PUYANA DE PALACIOS,  Alicia",Integración económica entre socios desiguales,CEESTEM,1983,HC165 P88 1983
1200,"LOZOYA, Jorge A.","Comercio internacional y nuevo Orden Económico
Internacional",CEESTEM,1983,HF1578 I5718 1983
1201,"SILVA HERZOG, Jesus",Pensamiento económico político 2,CEESTEM,1984,HC115 S54 1984 V.1
1202,"PORTILLA, Belfor",Alimentos: dependencia o desarrollo nacional,CEESTEM,1983,HD9052 P66 1983
1203,"MONTÁÑEZ, Carlos",Los negocios del hambre: los alimentos en el mundo,CEESTEM,1983,HD9000.5 N43 1983
1204,"HARDY, Clarisa",El estado y los campesinos,CEESTEM,1984,HD8115 H37 1984
1205,"MONTIEL, Edgar",Juventud de la crisis,CEESTEM,1984,HQ799.L28 J88 1984
1206,"BRIONES,Alvara",Entre el conflicto y la negociación: los funcionarios públicos frente a las empresas transnacionales,CEESTEM,1982,HD2754 B74 1982
1207,"MENÉNDEZ,Iván",Economia y desarrollo rural en america latina,CEESTEM,1982,HC130.D4 I82 1982
1208,"SILVA HERZOG, Jesus",En defensa de México: pensamiento economico-,CEESTEM,1984,HC115 S54 1984 V.2
1209,"MENÉNDEZ, Iván",Clases sociales y desarrollo rural,CEESTEM,1985,HN113.5 C53 1985
1210,"BALDIVIA,  José",Estado y comunicación social,CEESTEM,1984,HM258 E77 1984
1211,"FELIPE, León",Bardo peregrino,CEESTEM,1985,PQ6605.A67 B37 1985
1212,"GARCÍA CANTÚ, Gastón",Las invasiones norteamericanas en México,Era,1983,F1232 G33 1983
1213,"MASINI, Eleonora",Visiones de sociedades deseables,CEESTEM,1979,CB161 V56 1979
1214,"LOZOYA, Jorge A.",Alternativas para un nuevo orden internacional,CEESTEM,1979,HF1411 L68 1979
1215,"RIVERO,  Oswaldo de","Nuevo orden económico y derecho internacional para el
desarrollo",CEESTEM,1978,JX1252 R56 1978
1216,,Small Farmers in the Caribbean and Latin America,CEESTEM,1984,HD9014.C442 S53 1984
1217,"S. Wionckek, M.",LDC external debt and the world economy,COLMEX,1978,HG4517 L16 1978
1218,"DÍAZ MÜLLER, Luis",América Latina y el nuevo orden internacional,Grijalbo,1982,HC163 D53 1982
1219,"GARCÍA RAMIREZ, Sergio",La ciudadania de la juventud,Cultura y ciencia política,1970,HQ799.8 G3 M6 1970
1220,"VÁZQUEZ CARRIZOSA, Alfredo","Los no aliniados: una pareja política para la paz en la era
atómica",Carlos Valencia,1983,D440 V39 1983
1221,"SOBARZO, Alejandro","México y su mar patrimonial: la zona economica
exclusiva",Tercer Mundo,1970,KGF332 S63 1976
1222,"Bobbio, N.","Estado, gobierno y sociedad: por una teoría general de
la política","Fondo de cultura
económica",2002,JA71 B6318 2002
1223,,Congreso de crítica  de la revolución  mexicana,Libros de México,,F1234 C65 1970
1224,"INSTITUTO MEXICANO PARA EL ESTUDIO DE LAS
PLANTAS MEDICINALES",Estudios sobre etbotanica y antropologia medica,Tercer Mundo,1976,QK99 V53 1977
1225,"IÑIGO, Alejandro",Periodismo literario,Gernika,1988,PN4759 I55 1988
1226,"PORTUONDO, Jose Antonio",Teoría y crítica de la literatura,CEESTEM,1984,PQ7081 P64 1984
1227,"CARDOZA Y ARAGÓN, Luis",Guatemala con una piedra adentro,CEESTEM,1983,PQ7499.C34 G83 1983
1228,"ZEA, Leopoldo",Filosofía de lo americano,CEESTEM,1984,B101 Z426 1984
1229,"REYES, Alfonso",Posición de América,CEESTEM,1982,PQ7081 R48 1982
1230,"Seónez Calvo, M.","Aguas residuales: tratamiento por humedades
artificiales",MUNDIPRENSA,1999,TD756 .S46 1999
1231,"SHIGLEY, Joseph E.",Diseño en ingeniería mecánica,McGrawHill,2002,TJ230 S52 2002
1232,"Sapag Chain, N. & R. Sapag Chain",Preparación y evaluación de proyectos,"McGraw-
Hill/Interamericana",2003,HD75 S36 2003
1233,"Guajardo Garza, E.",Administración de la calidad total. Conceptos y enseñanzas de los grandes maestros de la calidad,Pax,1996,HD62.15 G82 1996
1234,"SAMA TREVIÑO, Manuel",Consultoría ¿Profesión o salvavidas?,Trillas,2002,HD69.C6 S22 2002
1235,"CARDONA, Pablo",Las claves del talento,Urano,2002,HD 4904.7 .C37 2002
1236,"SIERRA CAMPUZANO, Claudia",Historia de México,Esfinge,2006,F1219 C52 2006
1237,"BACA URBINA, Gabriela",Formulación y evaluación de proyectos informáticos,McGrawHill,2006,HD69.P75 B334 2006
1238,"PALLÁS ARENY, Ramón",Sensores y acondicionadores de señal,Alfaomega,2001,TA165 P35 2001
1239,"GARCÍA MORENO, Emilio",Automatización de procesos industriales,Alfaomega,2001,T59.5 G37 2001
1240,"DEPPERT, W.",Aplicaciones de neumática,Alfaomega,2000,TJ219 D4618 2000
1241,"Bolton, W.","Mecatrónica: sistemas de control electrónico en la
ingeniería mecánica y eléctrica",Alfaomega,2006,TJ163.12 B6518 2006
1242,"SAPAG CHAIN, Nassir","Preparación y evaluación de proyectos: guía de
ejercicios problemas y soluciones",McGraw Hill,2004,HD69.P75 .S26 2004
1243,"Chapman, S. J.",Máquinas eléctricas,"McGraw-
Hill/Interamericana",2005,TK2000 C4318 2005
1244,"Gutiérrez Pulido, H.",Calidad total y productividad,McGrawHill,2005,HD62.15 G88 2005
1245,"Johnsonbaugh, R.",Matemáticas discretas,Prentice Hall,2005,QA39.2 J6418 2005
1246,"RUSSELL,  Lynn D.",Termodinámica Clasica,PEARSON educación,2000,QC311 R8718 2002
1247,"Skoog, D. A., d. m. West, F. J. Holler & S. R. Crouch",Fundamentos de química analítica,Thomson,2005,QD75 S552 2005
1248,SPECTOR P.,Psicología industrial y organizacional,Manual moderno,2002,HF5548.8 S6418 2002
1249,"Thornton Morrison, Robert",Química orgánica,Thomson,1998,QD251 M7218 1998
1250,"ÇENGEL, Yunus A.",Transferencia de calor,McGrawHill,2004,TJ260 C46318 2004
1251,"VAN VLACK, Lawrence H.",Materiales para ingenieria,CECSA,1980,TA403 V33 1980
1252,"GRANT IRESON, W.",Biblioteca de Ingeniería Industrial T.4,"CECSA, 1982",1982,T56 H3518 1982 T.4
