id,autor,titulo,editorial,anio,clasificacion
3574,"Cohen, J.",Conducta y condicionamiento operantes No.5,Trillas,1973,BF121 C6218 1973
3575,"Medina González, S.",Recursos humanos y poblacipon en México en el umbral del siglo veintiuno: Una perspectiva regional,Universidad de Guadalajara,2003,LIBRE
3576,"Méndez B., L. H. & M. A. Leyva P. (Coord.)","Reflexiones acerca de un sexenio conflictivo T.1 El
carácter híbrido del Estado mexicano",Eón,2007,F1236.7 D68 2007 T.1
3577,"Méndez B., L. H. & M. A. Leyva P. (Coord.)","Reflexiones acerca de un sexenio conflictivo T.2 Calidad
de vida y violencia social",Eón,2007,F1236.7 D68 2007 T.2
3578,"Méndez B., L. H. & M. A. Leyva P. (Coord.)","Reflexiones acerca de un sexenio conflictivo T.3 El
impreciso espacio de la sociedad civil",Eón,2007,F1236.7 D68 2007 T.3
3579,"Sancén Contreras, F.",Aportaciones al estudio de la cosmovisión,UAM Xochimilco,2009,BD515 A66 2009
3580,"Roldán, E. (Coord.)","Las relaciones económicas de China: OMC, México, Estados Unidos, Taiwan y la Unión Europea",Plaza y Valdés,2003,HF1604 R45 2003
3581,"Young, E.","La revolución de catarino Garza en la Frontera Texas-
México",CONACULTA,2010,F1233.5 Y68 2010
3582,"Arnaut Salgado, A.","Historia de una profesión: Los maestros de educación
primaria en México 1887-1994",CIDE,1998,LB1776.4M6 A75 1998
3583,"Dumézil, G.",Del mito a la novela: La saga de Hadingus,"Fondo de cultura
económica",1973,DL147.S4 D842 1973
3584,"Soares, D., S. Vargas & M. R. Nuño",La gestión de los recursos hídricos: Realizades y perspectivas T.1,Instituto Mexicano de Tecnología del Agua,2008,HD1696.M4 G57 2008 T.1
3585,"Botkin, J. W., M. Elmandjra & M. Malitza","Aprender, horizonte sin límites",Santillana,1979,HM101 B6718 1979
3586,"Medina Quintero, J. M., M. I. de la Garza Ramos &
N. F. Cheín Schekaibán (compiladores)",La empresa tamaulipeca: 200 años,Gob. Del Edo. Tamaulipas,2010,HC137.T35 E56
3587,"Ramírez Bacca, R. & A. Betancurt Medieta",Ensayos sobre historia y cultura en América Latina,Universidad Nacional de Colombia,2008,F1408.3 E57 2008
3588,"North, D. C.","Instituciones, cambio institucional y desempeño
económico","Fondo de cultura
económica",1995,HB99.5 N6718 1995
3589,"Suárez Dávila, F.",Convención en el purgatorio sobre el futuro de México,Cal y arena,1994,HC134 S83 1994
3590,"Olea Franco, R.",El otro Borges. El Primer Borges,El Colegio de México,1993,PQ7797.B635 Z8024 1993
3591,"Pozos, F. (coord.)","La vulnerabilidad laboral del modelo exportador en
México","Universidad de
Guadalajara",2003,HD140.I52 V85 2003
3592,"Tecla J., A. & A. Garza R.","Teoría, métodos y técnias en la investigación social",Cultura Pupular,1978,HN29 T422 1978
3593,"Cotler, P.",Las entidades microfinancieras del México Urbano,"Universidad
Iberoamericana",2003,HG178.33 M5 C68 2003
3594,"Mahan, G. D.",Many-particle physics,Plenum,1981,QC176. M24 1981
3595,"Carabias, J. & R. Landa","Agua, medio  ambiente y sociedad: Hacia la gestión integral de los recursos Hídricos en México",UNAM,2005,HD1696.M6 C37 2005
3596,"Ortega Ochoa, R. M. & E. Villegas Hernández",Análisis financiero,Pac,1997,HG40 CUTTER 1997
3597,"Boege, E.",El patrimonio biocultural de los pueblos indígenas de México: Hacia la conservación in situ  de la biodiversidad y agrodiversidad en los territorios indígenas,Instituto Nacional de Antropología e Historia,2010,QH107 B63 2010
3598,"Vargas, S., D. Soares, O. Pérez Peña & A. I. Ramírez",La gestión de los recursos hídricos: Realizades y perspectivas T.2,Instituto Mexicano de Tecnología del Agua,2009,HD1696.M4 G57 2008 T.2
3599,"Hernández-Coss, R.","Lecciones sobre el cambio de sistemas de transferencias informales a formales en el corredor de remesas Estados
Unidos-México",Banco mundial,2004,H47 ????
3600,"Freixas, X. Y J. C. Rochet",Economía bancaria,Antonio Bosch,1997,HG1707 F7418 1997
